label,topic_words
Crime/theft,"rade zakon radit pristup raditi lopovi radite kriminal sustav kradu radili sistem kriminalci prijavljuju lopove upravljanjem mentalitet pokrali kriminalce
"
Fidelity,"veze stvari detalja pojma briga razloga nikakve veza stvar smisla tema sreće afera problema teme informacija priče fore dokaza
"
Finalization,"kraju način svih time cijeli jedini put kasnije kraja posljednja priliku jedina cijelu prva nove najviše konačno zadnji cijela
"
Crime reporting,"osoba policija novinari javno saznala susjed mediji prijatelj šokiran gospodin šef javnost ljudi medijima doktor policiju čovjeka policiji novinara
"
Can inflections1,"treba može mogu mora možeš mogao trebalo trebao moraju mogli moram moraš trebali trebala možemo trebaju mogla uspio moglo
"
Have inflections1,"ima imaju imao imam nemaju imati imali imaš imamo fali imate nemam imala nemaš imat nemamo nemate dobijem nosi
"
Luka Modrić,"korist luka žalost osnovu pomoć silu podršku temelju sudbinu masu prednost sreću potporu većina osnovi vecina podrška sila luku
"
Political parties/offensive,"hdz sdp gamad hns komunjare guzice jugi sanader kapa neče komunjara lopine drug jugo muda srbiju uhljeba gaće sanadera
"
Body parts,"mozak ruke ruku lovu glavu glavi love mozga pamet srce lova usta more noge mirovinu glave nogu pameti oči
"
Experience,"pravo vrijeme mjesto prava mjestu trenutku prilika priliku doba iskustva nastavku potrebe iskustvo znanje dano načina vlastitim slobodu smislu
"
Culture and society,"kulture 35274 društvu mišljenja političke kulturu vlasti interese ideologije sporta političkih društvene dužnosti politika medija zdravlja premijera kultura politike
"
Celebrities,"9000 klauški wwwwebjob33com zvezda zelite psg 27649 zeljkopž kelly salah dela 23710 potpec dalića 33589 ces 33769 penava soros
"
Spam1,"online mreži zaraditi web zaradio stranicu računalu mjesečno internetu zaradite student blogu posjetite 8000 stranice tjedno zaradim stranici redoviti
"
First names,"nece marko ivan josip ivana doc željko gospodjo marija dalica disi legendo gdin x00x duje cro goran roden tomislav
"
Truth and guilt,"drugo kriv jasno dobro krivi zlo prvo dno namjerno kriva ovakvim slučajno stranu lice čudo redu ozbiljno najgore istinu
"
Random1,"kmeče hdzova hahahahahahaha 24654 nece mrsić suarez rus komsic svaaka 90420 steve 18472 zutih 29497 retite venezuele rece bmwu
"
Civil war,"srbi hrvata tito srba srbije srbiji srbima srbija hrvate ustaše partizani cetnici četnici tita četnika zločine ustaša jna srbin
"
Apartments,"puta put vrata godina zida metara prostora duga metra dana mjeseci sabora dug mjesta stana vozila mjeseca doma kraja
"
Offensive1,"nesto bog boga ces jeli pas niko ubio ovce zao baba stoka ubiti metak ubije babe bolestan bolesni vrag
"
Random2,"jos moze peterostranu k0ji kolinda ecash10com 6000 pernar dalić moci izmedju demetra googleom k0d hocu vreme pernara 6google 32562
"
Have inflections1,"ima imaju imam nemaju imao imati imali imamo nemam imaš imate imala imat nemaš nemamo imalo nemate imale hnsa
"
Croatia inflections,"hrvatskoj hrvatske hrvatsku hrvatska hrvati hrvatski hrvata hrvat hrvatskom hrvatskog naroda cak hrvate saboru hrvatsko hrvatima hrvatskih njemačkoj hrvatskim
"
Can inflections2,"treba može mogu mora mogao trebalo trebao možeš trebali moraju mogli moraš spremni trebala morala moram moglo mogla pre
"
Football,"igra klub nogomet igraju utakmice igrati ligu ekipa prvaka igrača igrali kluba trener igrao ligi utakmicu naslov igre nogometu
"
Honesty,"sigurno istina stvari stvar stvarno osobno bitno priča istinu zanimljivo jako totalno iskreno apsolutno mislim činjenica realno jasno definitivno
"
Have inflections2,"ima primio dobio imaju dobiti imao dali imati dati dao dobije imali uzeo imaš zeli dobili imam daju daje
"
Big/small sizes,"druga nece slično zadnjem prošlom zadnje velike velika ostale mala ranije prva rado razne prijatelju posljednje druže njemačka slične
"
Biomedical research,"cjepiva sustava sustav imunološki cjepivo slučajeva virusa metoda procesa proces tehnologija gripe primjena istraživanja postupak znanost razina znanosti uzročnik
"
State and government,"država države državi vlasti državu vlade vlada stranke društva predsjednik politika predsjednica političari politike politiku vladi radnika društvo stranku
"
Arguing a point1,"sta vise nebi nista zasto mozda ces covjek mozes imas znas uopce kaze ocito nase mislis cemu kazem nemas
"
Monthly payments,"slijedeći putem računalo trebate započnite interneta prijenosno internetska kućne 7000 prijenosnom počnite želite 3000 mjesečne mjesečni mail računala djelujući
"
Global economy,"godina godine kuna godinama godinu zadnjih usd cca 2018 vrijednosti godišnje min mjeseci prošle 2000 2016 bodova 2014 mil
"
Football cards,"dao najbolji pridružio crveni karton žuti najbolja pokazao top promijenio pridružiti naj otkaz boje pridruže crno kartone žute dala
"
Spam2,"paycheck 100200 cilic 24654 7526 zainteresiranisimply psg dubajićevim 7683 suarez komsic 2017g 67n vulić steve нас vrapča perkovic daruvar
"
Arguing a point2,"zna govori vidi znaš znaju govore gledati pazi gledam gleda gledao vidio gledaju znam vidim vidjeti vide govoriti prati
"
Public safety,"lik ime grad imena glas gradu lika glasa sud zatvor rijeci zatvora grada djela ulice sudu djelo selu ubojstvo
"
Spam3,"dio novac 100 broj auto potencijal 000 200 način 30000 profil račun 300 par ček tip 150 500 milijune
"
Arguing a point3,"jel tak odma sta ajde hahaha bla kaj zuti kolko triba kak jbg ajd srbin mozda cast poslje cete
"
Fighting,"video napadaju partije čisti bore necu partija brane napali pljačka ubijaju brani krade kontra bori borbe napad blokiraju borba
"
Spam4,"dolara eura plaća mjeseca mjesecu satu sati dnevno mjesec sata tjedno platio mjesečno zarada tijekom mjeseci prosječno iznosila veća
"
Spam5,"svaki dana dan puta mjesec pola svaka tjedan mjeseci svakih minuta zadnji put sata pol zaradivao svaku časa mjeseca
"
taxes,"gori plus nato nula minus gora minusa thompsonu jači posle nule rudeš spali potop plavi plusa pdv totalni minusi
"
Church and state,"narod rat zemlju rata zemlji vlast zemlje zemlja narodu crkva naroda ratu crkvu crkve crkvi države izbore vojska domovinu
"
Go inflections,"ide idu dođe ode vrati dođu odu idite doći došli pusti otišli vrate vratiti šuti krene otišao počne uđe
"
Working hours,"vremena vrijeme sata dnevno slobodno sat radno radnog sati mjesta vremenom vremenu dan punog slobodnog 1000 radnom slobodnom dane
"
Go inflections2,"ide dođe idem dajte idite predlažem nemoj ode idi odi ići javi dođi uzmi ostavi idemo dolazi vrati oprosti
"
Buy and sell,"ostali dalje ostale ostalo trenutno većina prodaje čini ostao prodaju ostalim ostalih jedina drži glavni ostati razliku ostala smatraju
"
Moderately offensive,"gluposti sramota sram glup jadni jadan jadno budale laži glupost glupi budala govna jadna govno smece žalosno sranja laž
"
Having a discussion,"kaj jel reci molim hvala kak ajde pitam haha bravo bogu bas neznam nemoj bože hahaha pogledaj gospon hahahaha
"
Photography,"sliku slika slike slici slikama fotografije liverpoola fotke fotografija rimac slikom ogledalo nickom fotografiju sličice profil imenima fejsu sličicu
"
Buy inflections,"dobiti dobio dali dobit dati dobili daju dajte daje traže dat traži dao dala kupio dobila kupiti glasaju dobiju
"
Sports in general,"gol sezone penal igraca gola igrac golova loptu zabio reala ramos utakmica sezoni lopta pogodak momcadi momcad messija igrace
"
Croatian football,"dinamo hajduk zagreb zagrebu placu europi zagreba rusi dinama splitu placa ameri hajduka dinamu mamić stadion split navijaci americi
"
Spam6,"kuće doma kuce 25000 kući 300000 10000 mjesecno kuću paket dom 27000 32000 15000 12000 1500 22000 nece 14000
"
Life and love,"ljudi ljude čovjek ljudima svijetu svijeta ljubav povijesti svijet povijest cura ljubavi cure dečko karijeru mlade dečki mladih prijatelje
"
Discussion,"sta vise nebi bas nista zasto mozda imas reci jel mozes kaze ajmo znas covjek nemoj uopce kazem cast
"
Arguing a point4,"naravno stvarno jako mislim reći pogotovo super recimo znam kažem obzira tiče posebno razliku ponavljam najgore priznati bitno kažeš
"
Recommendations,"postoji mogu hdzsdp postoje žele koristi necu može vole smiju koriste volio koristim preporučujem koristiti želim traže zanimaju reči
"
Life and relationships,"život živi životu života žive vezu živjeti svijet miru dom živim vezi umro stanju živio braku stan živiš živimo
"
Law and punishment,"pravu pravila kazna kazne kaznu prava zakona zakonu zla istine žrtve kriv zakone mira interesa kazniti granica šteta zakonima
"
Love and hate,"vec hoce mržnju nasilje voltaire mrznju ljubomora neces mržnja mrznja laz pljuvanje tvu klauski smece oruzje komplekse 34629 cije
"
Football cards 2,"stop kartona post pišem eurai pišete komšić karton vucic pišeš kartoni kartonima pisati 28476 kartone pisat napišem 3500 postu
"
Family,"dijete djecu djeca djece obitelji majka otac roditelji mama brat djeci sestra obitelj sin oca roditelja majke djeteta majku
"
Online media,"komentar komentare komentara članak portalu portal pisati portala 24sata clanak komentari novine pišu vijesti novinar riječi govora komentarima komentaru
"
Death and illness,"žena žene ljudi osoba osobe ženu smrt čovjeka osobu bolest smrti tijelo čovjek bolesti muškarca životinje ljude muškarci ženama
"
Music awards,"čast plenković pjesme pjeva knjige slave pjesmu pjesma nagrada pobjede slavi slavu reklama pjevao glazbe pobjeda pjevati pjesama kraljica
"
LGBTQI issues,"skupa normalno isključivo gay čisto redu posebnih malog malim malom velika mala posebnog zabraniti nikakva obična reda male seks
"
Mental health,"dna dno mile visoko bolesno strasno moral mentalno duševno efteling bolesne 26681 duhovno paycheck cemo retardirane med nebesa duboko
"
Solving problems,"problem pitanje problema pitanju riječ mišljenje stanje odgovor pomoći pomoć stvar pitanja temu situaciju probleme katastrofa novcu situacija slučaj
"
Go variants,"prošli rade prošlog idu ide vodi došao čeka dolaze pada vozio ići radili išao završio otišao krenuo došli odlaze
"
starting things,"možete početi mogu pokušati provjeriti trebali isprobala posjetiti nemojte počeo počela 1000 pogledati moći punim podijeliti započeo probati obaviti
"
Random3,"20000 zelite culej wwwwebjob33com dus kodd komsic tuzis cija ivanisevic 10kmh 23710 zainteresiranisimply adriano steve 29639 alves 13648 noba
"
Body parts,"zamisli vrata glavom cak usta glavu ruke bok rukom pamet nogom kuca riječi propast noge glave zidu rukama vratima
"
Pain and suffering,"boli paycheck bola plača bol zuba zaboli vida boljeti bolan zubi ad2 tuzi svrbi kita duševne nosa bolova patnje
"
Positivity1,"puno dobro par dovoljno dugo dobar para pun dobra dobre več puna loše taman puni lijepe lijepo dobrih obično
"
Consistency,"dalje svaka svako stalno svaku najmanje ostalo svake svakodnevno uvjek veći svaki redovito ostati veće svakoj polako većina uporno
"
Life and government,"znaci zena zivot zene zele drzava uopce zivota nacin bas vise cemu zivotu drzavi zasto ocito place zive zivi
"
Can inflections,"zove zovu zvati naziva nazivaju nosi bavi imenom nositi nazvati učiti pisali rođen vozim zaslužuje rodio cemo vozi naučiti
"
Spam7,"posao rad radim posla raditi poslu radeći rada radio poslove zarađivati radnim radiš radom podijelim poslovi radila poslova radnom
"
Opinions,"znam vidim vidi zna jasno mislim točno mislio vidio nadam vidiš vjerujem vidjeti vjerovati jako znati vidjeli znamo znali
"
Food and fuel prices,"vode smeće vodu nazad auta zrak gorivo jaja voda puše piće benzin voze goriva aute otpad kante meso mlijeko
"
Positivity2,"bolje dobro bolji lijepo dobar najbolje krivo lijep pametan dobri bolja sretno dobru lijepa loš pametni loše sretni pametno
"
Personal finances,"platiti plaće plaću novca prihoda novac novaca kredit cijena ponuda novce kredite plaćanja poreza cijenu zajam cijene plaća prihod
"
Profile,"svijetu postao svih profila svijeta postati vrsta postaje postali cijeloj vrste generacije postane broju cijele cijelom svjetski raznih pitanju
"
Little/big,"pravi mali veliki novi stari velika mladi dodatni velike masivna prave veliku stara nove mala stare stariji branitelji izvanrednu
"
Arguing a point 5,"vidim znam vidi nadam mislim vjerovati slažem vjerujem čuo razumijem vidjeti misliš znamo vidio znati osjećam mislio sjećam vidimo
"
Health & Fitness,"normalno pare normalan cesti normalni krvi hranu sport hrane normalne moru krv zdravo jesti zdravlje snage noći kruha novca
"
Said/wrote/did verbs,"rekao napravio kaže napisao piše kažu napravili napraviti rekla rekli radio napisati napravit napravi pita promijenilo napisala napravila napisali
"
Google spam,"google nece upute real user friendly pogledajte googlea slijedite pročitajte saznajte provjerite pogledaj provjera 5000 link racunalu 24961 4google
"
Targeted/personal insults,"mater jebem admine kurac pozdrav admin jebo dragi nabijem draga admina majmune dupe brate guzicu bre materina bosanac kreten
"
Legal procedure,"izgleda slučaju stoji čini razlika dolazi obzirom pokazuje nikakav zvuči ispada predstavlja dokaz tiče uvjerilo postoji razlike činjenica odnosu
"
Migrant crisis,"ljudi promjene ljude informacije osoba ljudima osobe dokaze nesposobni odlazak podatke dokumente kartu borbu migranti promjena osobama migranata brisanje
"
Random,"primjer zid san cilj razlog dokaz problem dio prosjek red most put strah film početak uspjeh pokušaj plan rezultat
"
Know/love/want verbs,"znači zna misli smeta zanima znaju voli želi volim smije misle odgovara znate želim znam vole ovisi želiš mislite
"
Perspective_adj,"politički fizički ekonomski medijski psihički financijski sustavno mentalno socijalni moralno intelektualno emocionalno 31864 socijalno tjelesno zdravstveni vucic tehnički društveno
"
Stopwords,"and you that are for this your city who with about new will from was his all they can
"
Like/alike,"tipa nekakav rangu nekakve slični obliku razni slične nekakva vidu nekakvu nekakvi tipu prostorima sistemu principu čitaj nikakav razno
"
Can inflections,"treba može mogu mora učiniti mogao moram napraviti možeš moraju trebalo odlučio trebali mogli pokušam trebao morao trebaju moraš
"
Border defences,"strane drugo prvo kraju strani rukama razini granice oružje timu obranu brani vrhu pada stranu čelu napada granici palo
"
Situational adjectives,"lako jednostavno jednostavan daleko sretan puno teško beskrajan brzo nevjerojatno iznenađujuće sigurno dovoljno lakše sretniji strašnoj jednostavna nevjerojatan siguran
"
